POS,ODR,POF,ideal_prob
0.003,0.003,0.997,1.0
0.007,0.007,0.993,1.0
0.014,0.014,0.986,1.0
0.002,0.002,0.998,1.0
0.588,1.427,0.412,0.0
0.363,0.571,0.637,0.0
0.013,0.013,0.987,1.0
0.016,0.016,0.984,1.0
0.009,0.009,0.991,1.0
0.008,0.008,0.992,1.0
0.004,0.004,0.996,1.0
0.003,0.003,0.997,1.0
0.326,0.483,0.674,0.0
0.674,2.071,0.326,0.0
0.148,0.174,0.852,0.0
0.104,0.116,0.896,0.0
0.15,0.177,0.85,0.0
0.149,0.175,0.851,0.0
0.148,0.174,0.852,0.0
0.104,0.117,0.896,0.0
0.099,0.11,0.901,0.0
0.101,0.112,0.899,0.0
0.245,0.325,0.755,0.0
0.23,0.299,0.77,0.0
0.24,0.315,0.76,0.0
0.009,0.009,0.991,0.0
0.244,0.323,0.756,0.0
0.012,0.012,0.988,0.0
0.011,0.011,0.989,0.0
0.013,0.013,0.987,0.0
0.944,16.81,0.056,0.0
0.056,0.059,0.944,0.0
0.211,0.267,0.789,0.0
0.041,0.042,0.959,0.0
0.217,0.277,0.783,0.0
0.04,0.042,0.96,0.0
0.208,0.262,0.792,0.0
0.211,0.267,0.789,0.0
0.038,0.039,0.962,0.0
0.037,0.039,0.963,0.0
0.371,0.59,0.629,0.0
0.629,1.696,0.371,0.0
0.838,5.187,0.162,0.0
0.113,0.128,0.887,0.0
0.017,0.017,0.983,1.0
0.004,0.004,0.996,1.0
0.017,0.017,0.983,1.0
0.008,0.008,0.992,1.0
0.002,0.002,0.998,1.0
0.003,0.003,0.997,1.0
0.675,2.075,0.325,0.0
0.325,0.482,0.675,0.0
0.398,0.661,0.602,0.0
0.547,1.209,0.453,0.0
0.013,0.013,0.987,1.0
0.011,0.011,0.989,1.0
0.016,0.016,0.984,1.0
0.003,0.003,0.997,1.0
0.007,0.007,0.993,1.0
0.002,0.002,0.998,1.0
0.193,0.24,0.807,0.0
0.053,0.056,0.947,0.0
0.052,0.055,0.948,0.0
0.198,0.247,0.802,0.0
0.196,0.243,0.804,0.0
0.189,0.234,0.811,0.0
0.051,0.054,0.949,0.0
0.051,0.054,0.949,0.0
0.126,0.144,0.874,0.0
0.128,0.147,0.872,0.0
0.134,0.154,0.866,0.0
0.123,0.14,0.877,0.0
0.118,0.133,0.882,0.0
0.133,0.153,0.867,0.0
0.12,0.136,0.88,0.0
0.128,0.147,0.872,0.0
0.017,0.017,0.983,1.0
0.823,4.642,0.177,0.0
0.122,0.139,0.878,0.0
0.015,0.015,0.985,1.0
0.003,0.003,0.997,1.0
0.003,0.003,0.997,1.0
0.009,0.009,0.991,1.0
0.002,0.002,0.998,1.0
0.205,0.258,0.795,0.0
0.212,0.269,0.788,0.0
0.209,0.265,0.791,0.0
0.209,0.264,0.791,0.0
0.042,0.043,0.958,0.0
0.041,0.042,0.959,0.0
0.042,0.043,0.958,0.0
0.041,0.043,0.959,0.0
0.189,0.233,0.811,0.0
0.184,0.225,0.816,0.0
0.177,0.215,0.823,0.0
0.073,0.078,0.927,0.0
0.182,0.223,0.818,0.0
0.068,0.073,0.932,0.0
0.069,0.075,0.931,0.0
0.062,0.066,0.938,0.0
0.572,1.338,0.428,0.0
0.428,0.747,0.572,0.0
0.11,0.124,0.89,0.0
0.89,8.062,0.11,0.0
0.154,0.182,0.846,0.0
0.155,0.183,0.845,0.0
0.152,0.179,0.848,0.0
0.098,0.109,0.902,0.0
0.16,0.19,0.84,0.0
0.093,0.102,0.907,0.0
0.094,0.103,0.906,0.0
0.092,0.102,0.908,0.0
0.674,2.066,0.326,0.0
0.326,0.484,0.674,0.0
0.274,0.378,0.726,0.0
0.673,2.061,0.327,0.0
0.013,0.013,0.987,1.0
0.011,0.011,0.989,1.0
0.004,0.004,0.996,1.0
0.006,0.006,0.994,1.0
0.016,0.016,0.984,1.0
0.003,0.003,0.997,1.0
0.156,0.185,0.844,0.0
0.085,0.093,0.915,0.0
0.081,0.088,0.919,0.0
0.161,0.192,0.839,0.0
0.087,0.095,0.913,0.0
0.165,0.197,0.835,0.0
0.168,0.202,0.832,0.0
0.089,0.098,0.911,0.0
0.128,0.147,0.872,0.0
0.12,0.137,0.88,0.0
0.136,0.158,0.864,0.0
0.132,0.153,0.868,0.0
0.127,0.145,0.873,0.0
0.118,0.134,0.882,0.0
0.124,0.141,0.876,0.0
0.121,0.137,0.879,0.0
0.363,0.569,0.637,0.0
0.016,0.016,0.984,1.0
0.583,1.398,0.417,0.0
0.012,0.012,0.988,1.0
0.003,0.003,0.997,1.0
0.014,0.014,0.986,1.0
0.009,0.009,0.991,1.0
0.002,0.002,0.998,1.0
0.802,4.057,0.198,0.0
0.198,0.247,0.802,0.0
0.915,10.776,0.085,0.0
0.085,0.093,0.915,0.0
0.189,0.233,0.811,0.0
0.057,0.06,0.943,0.0
0.203,0.254,0.797,0.0
0.201,0.252,0.799,0.0
0.053,0.056,0.947,0.0
0.195,0.243,0.805,0.0
0.053,0.056,0.947,0.0
0.051,0.054,0.949,0.0
0.678,2.103,0.322,0.0
0.27,0.369,0.73,0.0
0.018,0.018,0.982,1.0
0.012,0.012,0.988,1.0
0.004,0.004,0.996,1.0
0.012,0.012,0.988,1.0
0.006,0.006,0.994,1.0
0.003,0.003,0.997,1.0
0.568,1.314,0.432,0.0
0.432,0.761,0.568,0.0
0.775,3.452,0.225,0.0
0.225,0.29,0.775,0.0
0.883,7.536,0.117,0.0
0.063,0.068,0.937,0.0
0.012,0.012,0.988,1.0
0.003,0.003,0.997,1.0
0.022,0.023,0.978,1.0
0.002,0.002,0.998,1.0
0.008,0.008,0.992,1.0
0.005,0.005,0.995,1.0
0.127,0.146,0.873,0.0
0.824,4.673,0.176,0.0
0.016,0.016,0.984,1.0
0.02,0.02,0.98,1.0
0.004,0.004,0.996,1.0
0.008,0.008,0.992,1.0
0.004,0.004,0.996,1.0
0.001,0.001,0.999,1.0
0.192,0.238,0.808,0.0
0.056,0.059,0.944,0.0
0.199,0.249,0.801,0.0
0.19,0.234,0.81,0.0
0.194,0.241,0.806,0.0
0.054,0.057,0.946,0.0
0.056,0.059,0.944,0.0
0.058,0.061,0.942,0.0
0.192,0.237,0.808,0.0
0.184,0.226,0.816,0.0
0.053,0.056,0.947,0.0
0.19,0.234,0.81,0.0
0.198,0.247,0.802,0.0
0.052,0.055,0.948,0.0
0.06,0.063,0.94,0.0
0.056,0.059,0.944,0.0
0.523,1.098,0.477,0.0
0.427,0.744,0.573,0.0
0.014,0.014,0.986,1.0
0.003,0.003,0.997,1.0
0.009,0.009,0.991,1.0
0.009,0.009,0.991,1.0
0.003,0.003,0.997,1.0
0.011,0.011,0.989,1.0
0.398,0.662,0.602,0.0
0.544,1.195,0.456,0.0
0.01,0.01,0.99,1.0
0.017,0.017,0.983,1.0
0.013,0.013,0.987,1.0
0.009,0.009,0.991,1.0
0.002,0.002,0.998,1.0
0.002,0.002,0.998,1.0
0.24,0.316,0.76,0.0
0.235,0.307,0.765,0.0
0.234,0.305,0.766,0.0
0.239,0.315,0.761,0.0
0.012,0.012,0.988,0.0
0.012,0.012,0.988,0.0
0.014,0.014,0.986,0.0
0.011,0.011,0.989,0.0
0.751,3.017,0.249,0.0
0.249,0.332,0.751,0.0
0.246,0.326,0.754,0.0
0.235,0.307,0.765,0.0
0.236,0.309,0.764,0.0
0.241,0.318,0.759,0.0
0.01,0.01,0.99,0.0
0.013,0.013,0.987,0.0
0.009,0.009,0.991,0.0
0.011,0.011,0.989,0.0
0.885,7.715,0.115,0.0
0.115,0.13,0.885,0.0
0.209,0.265,0.791,0.0
0.04,0.041,0.96,0.0
0.205,0.257,0.795,0.0
0.044,0.046,0.956,0.0
0.041,0.042,0.959,0.0
0.209,0.265,0.791,0.0
0.206,0.26,0.794,0.0
0.041,0.043,0.959,0.0
0.208,0.263,0.792,0.0
0.202,0.253,0.798,0.0
0.204,0.256,0.796,0.0
0.213,0.271,0.787,0.0
0.041,0.043,0.959,0.0
0.043,0.045,0.957,0.0
0.044,0.046,0.956,0.0
0.043,0.045,0.957,0.0
0.396,0.654,0.604,0.0
0.549,1.219,0.451,0.0
0.018,0.018,0.982,1.0
0.011,0.011,0.989,1.0
0.009,0.009,0.991,1.0
0.002,0.002,0.998,1.0
0.01,0.01,0.99,1.0
0.003,0.003,0.997,1.0
0.165,0.197,0.835,0.0
0.083,0.09,0.917,0.0
0.16,0.191,0.84,0.0
0.163,0.195,0.837,0.0
0.084,0.092,0.916,0.0
0.171,0.207,0.829,0.0
0.083,0.09,0.917,0.0
0.086,0.095,0.914,0.0
0.125,0.143,0.875,0.0
0.118,0.133,0.882,0.0
0.118,0.133,0.882,0.0
0.129,0.149,0.871,0.0
0.119,0.135,0.881,0.0
0.131,0.151,0.869,0.0
0.13,0.15,0.87,0.0
0.122,0.139,0.878,0.0
0.111,0.125,0.889,0.0
0.135,0.156,0.865,0.0
0.136,0.157,0.864,0.0
0.135,0.156,0.865,0.0
0.136,0.157,0.864,0.0
0.115,0.13,0.885,0.0
0.116,0.131,0.884,0.0
0.111,0.125,0.889,0.0
0.064,0.069,0.936,0.0
0.177,0.215,0.823,0.0
0.181,0.221,0.819,0.0
0.177,0.215,0.823,0.0
0.071,0.076,0.929,0.0
0.186,0.229,0.814,0.0
0.067,0.072,0.933,0.0
0.065,0.07,0.935,0.0
0.096,0.106,0.904,0.0
0.167,0.2,0.833,0.0
0.089,0.098,0.911,0.0
0.091,0.1,0.909,0.0
0.158,0.187,0.842,0.0
0.155,0.183,0.845,0.0
0.151,0.178,0.849,0.0
0.09,0.099,0.91,0.0
0.051,0.053,0.949,0.0
0.192,0.238,0.808,0.0
0.194,0.241,0.806,0.0
0.202,0.253,0.798,0.0
0.058,0.061,0.942,0.0
0.055,0.058,0.945,0.0
0.052,0.055,0.948,0.0
0.193,0.24,0.807,0.0
0.073,0.079,0.927,0.0
0.172,0.208,0.828,0.0
0.081,0.088,0.919,0.0
0.174,0.21,0.826,0.0
0.167,0.2,0.833,0.0
0.169,0.203,0.831,0.0
0.082,0.089,0.918,0.0
0.083,0.09,0.917,0.0
0.795,3.889,0.205,0.0
0.205,0.257,0.795,0.0
0.209,0.265,0.791,0.0
0.208,0.263,0.792,0.0
0.208,0.263,0.792,0.0
0.205,0.258,0.795,0.0
0.038,0.039,0.962,0.0
0.043,0.045,0.957,0.0
0.042,0.044,0.958,0.0
0.043,0.045,0.957,0.0
0.132,0.152,0.868,0.0
0.128,0.147,0.872,0.0
0.121,0.138,0.879,0.0
0.123,0.14,0.877,0.0
0.115,0.13,0.885,0.0
0.126,0.145,0.874,0.0
0.128,0.147,0.872,0.0
0.121,0.137,0.879,0.0
0.163,0.194,0.837,0.0
0.154,0.182,0.846,0.0
0.092,0.101,0.908,0.0
0.159,0.189,0.841,0.0
0.092,0.101,0.908,0.0
0.088,0.096,0.912,0.0
0.164,0.196,0.836,0.0
0.089,0.098,0.911,0.0
0.12,0.137,0.88,0.0
0.129,0.149,0.871,0.0
0.124,0.142,0.876,0.0
0.126,0.145,0.874,0.0
0.121,0.138,0.879,0.0
0.13,0.149,0.87,0.0
0.124,0.141,0.876,0.0
0.127,0.145,0.873,0.0
0.505,1.022,0.495,0.0
0.495,0.979,0.505,0.0
0.042,0.043,0.958,0.0
0.201,0.251,0.799,0.0
0.209,0.264,0.791,0.0
0.047,0.05,0.953,0.0
0.039,0.041,0.961,0.0
0.208,0.263,0.792,0.0
0.211,0.267,0.789,0.0
0.046,0.049,0.954,0.0
0.988,84.93,0.012,0.0
0.012,0.012,0.988,0.0
0.104,0.115,0.896,0.0
0.154,0.182,0.846,0.0
0.15,0.177,0.85,0.0
0.143,0.166,0.857,0.0
0.103,0.114,0.897,0.0
0.094,0.103,0.906,0.0
0.097,0.107,0.903,0.0
0.152,0.179,0.848,0.0
0.19,0.235,0.81,0.0
0.81,4.252,0.19,0.0
0.939,15.385,0.061,0.0
0.061,0.065,0.939,0.0
0.055,0.058,0.945,0.0
0.195,0.243,0.805,0.0
0.055,0.058,0.945,0.0
0.194,0.241,0.806,0.0
0.188,0.231,0.812,0.0
0.056,0.059,0.944,0.0
0.191,0.236,0.809,0.0
0.054,0.057,0.946,0.0
0.127,0.146,0.873,0.0
0.123,0.14,0.877,0.0
0.137,0.158,0.863,0.0
0.132,0.153,0.868,0.0
0.114,0.128,0.886,0.0
0.113,0.128,0.887,0.0
0.14,0.162,0.86,0.0
0.122,0.138,0.878,0.0
0.239,0.314,0.761,0.0
0.241,0.317,0.759,0.0
0.239,0.315,0.761,0.0
0.011,0.011,0.989,0.0
0.235,0.307,0.765,0.0
0.013,0.013,0.987,0.0
0.013,0.013,0.987,0.0
0.013,0.013,0.987,0.0
0.59,1.441,0.41,0.0
0.41,0.694,0.59,0.0
0.125,0.143,0.875,0.0
0.126,0.144,0.874,0.0
0.127,0.146,0.873,0.0
0.122,0.138,0.878,0.0
0.13,0.15,0.87,0.0
0.121,0.137,0.879,0.0
0.118,0.134,0.882,0.0
0.134,0.154,0.866,0.0
0.173,0.21,0.827,0.0
0.08,0.087,0.92,0.0
0.171,0.207,0.829,0.0
0.167,0.2,0.833,0.0
0.082,0.089,0.918,0.0
0.168,0.203,0.832,0.0
0.078,0.085,0.922,0.0
0.083,0.091,0.917,0.0
0.109,0.122,0.891,0.0
0.104,0.115,0.896,0.0
0.143,0.166,0.857,0.0
0.104,0.117,0.896,0.0
0.101,0.112,0.899,0.0
0.143,0.167,0.857,0.0
0.147,0.173,0.853,0.0
0.142,0.165,0.858,0.0
0.215,0.274,0.785,0.0
0.233,0.304,0.767,0.0
0.224,0.288,0.776,0.0
0.024,0.025,0.976,0.0
0.227,0.294,0.773,0.0
0.024,0.025,0.976,0.0
0.021,0.022,0.979,0.0
0.023,0.024,0.977,0.0
0.021,0.021,0.979,0.0
0.23,0.299,0.77,0.0
0.224,0.289,0.776,0.0
0.229,0.298,0.771,0.0
0.235,0.307,0.765,0.0
0.019,0.019,0.981,0.0
0.02,0.02,0.98,0.0
0.02,0.02,0.98,0.0
0.8,3.996,0.2,0.0
0.2,0.25,0.8,0.0
0.22,0.282,0.78,0.0
0.219,0.281,0.781,0.0
0.029,0.03,0.971,0.0
0.219,0.281,0.781,0.0
0.22,0.282,0.78,0.0
0.03,0.031,0.97,0.0
0.032,0.033,0.968,0.0
0.032,0.033,0.968,0.0
0.111,0.125,0.889,0.0
0.15,0.176,0.85,0.0
0.142,0.166,0.858,0.0
0.098,0.108,0.902,0.0
0.142,0.166,0.858,0.0
0.1,0.111,0.9,0.0
0.109,0.123,0.891,0.0
0.142,0.166,0.858,0.0
0.737,2.807,0.263,0.0
0.209,0.265,0.791,0.0
0.015,0.015,0.985,1.0
0.019,0.019,0.981,1.0
0.009,0.009,0.991,1.0
0.005,0.005,0.995,1.0
0.004,0.004,0.996,1.0
0.002,0.002,0.998,1.0
0.107,0.12,0.893,0.0
0.115,0.13,0.885,0.0
0.117,0.133,0.883,0.0
0.135,0.156,0.865,0.0
0.136,0.157,0.864,0.0
0.115,0.13,0.885,0.0
0.133,0.154,0.867,0.0
0.129,0.149,0.871,0.0
0.157,0.186,0.843,0.0
0.097,0.107,0.903,0.0
0.093,0.103,0.907,0.0
0.157,0.186,0.843,0.0
0.166,0.199,0.834,0.0
0.093,0.103,0.907,0.0
0.154,0.182,0.846,0.0
0.093,0.102,0.907,0.0
0.92,11.49,0.08,0.0
0.08,0.087,0.92,0.0
0.646,1.825,0.354,0.0
0.354,0.548,0.646,0.0
0.184,0.226,0.816,0.0
0.184,0.225,0.816,0.0
0.058,0.062,0.942,0.0
0.19,0.234,0.81,0.0
0.062,0.067,0.938,0.0
0.189,0.234,0.811,0.0
0.061,0.065,0.939,0.0
0.062,0.066,0.938,0.0
0.575,1.351,0.425,0.0
0.373,0.594,0.627,0.0
0.015,0.015,0.985,1.0
0.003,0.003,0.997,1.0
0.01,0.01,0.99,1.0
0.002,0.002,0.998,1.0
0.01,0.01,0.99,1.0
0.011,0.011,0.989,1.0
0.163,0.194,0.837,0.0
0.08,0.087,0.92,0.0
0.17,0.205,0.83,0.0
0.167,0.201,0.833,0.0
0.077,0.083,0.923,0.0
0.082,0.089,0.918,0.0
0.091,0.1,0.909,0.0
0.164,0.196,0.836,0.0
0.678,2.103,0.322,0.0
0.322,0.476,0.678,0.0
0.143,0.167,0.857,0.0
0.805,4.133,0.195,0.0
0.016,0.016,0.984,1.0
0.009,0.009,0.991,1.0
0.018,0.018,0.982,1.0
0.005,0.005,0.995,1.0
0.002,0.002,0.998,1.0
0.005,0.005,0.995,1.0
0.234,0.305,0.766,0.0
0.229,0.297,0.771,0.0
0.231,0.301,0.769,0.0
0.235,0.308,0.765,0.0
0.021,0.021,0.979,0.0
0.019,0.019,0.981,0.0
0.019,0.019,0.981,0.0
0.018,0.018,0.982,0.0
0.054,0.057,0.946,0.0
0.946,17.643,0.054,0.0
0.61,1.563,0.39,0.0
0.013,0.013,0.987,1.0
0.334,0.503,0.666,0.0
0.003,0.003,0.997,1.0
0.018,0.018,0.982,1.0
0.014,0.014,0.986,1.0
0.006,0.006,0.994,1.0
0.002,0.002,0.998,1.0
0.084,0.092,0.916,0.0
0.082,0.089,0.918,0.0
0.081,0.088,0.919,0.0
0.168,0.203,0.832,0.0
0.171,0.207,0.829,0.0
0.165,0.198,0.835,0.0
0.168,0.202,0.832,0.0
0.081,0.088,0.919,0.0
0.235,0.308,0.765,0.0
0.246,0.326,0.754,0.0
0.25,0.333,0.75,0.0
0.241,0.317,0.759,0.0
0.009,0.009,0.991,0.0
0.006,0.006,0.994,0.0
0.009,0.009,0.991,0.0
0.01,0.01,0.99,0.0
0.247,0.327,0.753,0.0
0.236,0.309,0.764,0.0
0.221,0.283,0.779,0.0
0.233,0.304,0.767,0.0
0.015,0.015,0.985,0.0
0.017,0.017,0.983,0.0
0.014,0.014,0.986,0.0
0.016,0.016,0.984,0.0
0.213,0.271,0.787,0.0
0.206,0.259,0.794,0.0
0.202,0.253,0.798,0.0
0.199,0.248,0.801,0.0
0.044,0.047,0.956,0.0
0.047,0.049,0.953,0.0
0.05,0.053,0.95,0.0
0.044,0.047,0.956,0.0
0.231,0.301,0.769,0.0
0.018,0.018,0.982,0.0
0.231,0.3,0.769,0.0
0.232,0.303,0.768,0.0
0.237,0.311,0.763,0.0
0.021,0.021,0.979,0.0
0.016,0.016,0.984,0.0
0.015,0.015,0.985,0.0
0.917,11.054,0.083,0.0
0.029,0.03,0.971,0.0
0.016,0.016,0.984,1.0
0.023,0.023,0.977,1.0
0.007,0.007,0.993,1.0
0.004,0.004,0.996,1.0
0.003,0.003,0.997,1.0
0.002,0.002,0.998,1.0
0.741,2.866,0.259,0.0
0.202,0.253,0.798,0.0
0.004,0.004,0.996,1.0
0.01,0.01,0.99,1.0
0.02,0.02,0.98,1.0
0.015,0.015,0.985,1.0
0.005,0.005,0.995,1.0
0.001,0.001,0.999,1.0
0.578,1.368,0.422,0.0
0.422,0.731,0.578,0.0
0.616,1.606,0.384,0.0
0.018,0.018,0.982,1.0
0.333,0.498,0.667,0.0
0.01,0.01,0.99,1.0
0.014,0.014,0.986,1.0
0.002,0.002,0.998,1.0
0.007,0.007,0.993,1.0
0.003,0.003,0.997,1.0
0.793,3.83,0.207,0.0
0.149,0.176,0.851,0.0
0.017,0.017,0.983,1.0
0.019,0.019,0.981,1.0
0.008,0.008,0.992,1.0
0.003,0.003,0.997,1.0
0.006,0.006,0.994,1.0
0.004,0.004,0.996,1.0
0.083,0.091,0.917,0.0
0.087,0.095,0.913,0.0
0.169,0.204,0.831,0.0
0.167,0.2,0.833,0.0
0.081,0.088,0.919,0.0
0.172,0.208,0.828,0.0
0.17,0.205,0.83,0.0
0.079,0.086,0.921,0.0
0.445,0.803,0.555,0.0
0.491,0.966,0.509,0.0
0.015,0.015,0.985,1.0
0.014,0.014,0.986,1.0
0.004,0.004,0.996,1.0
0.009,0.009,0.991,1.0
0.011,0.011,0.989,1.0
0.003,0.003,0.997,1.0
0.813,4.347,0.187,0.0
0.008,0.008,0.992,1.0
0.135,0.156,0.865,0.0
0.022,0.023,0.978,1.0
0.004,0.004,0.996,1.0
0.004,0.004,0.996,1.0
0.014,0.014,0.986,1.0
0.002,0.002,0.998,1.0
0.092,0.101,0.908,0.0
0.092,0.101,0.908,0.0
0.153,0.18,0.847,0.0
0.161,0.191,0.839,0.0
0.093,0.102,0.907,0.0
0.161,0.192,0.839,0.0
0.094,0.103,0.906,0.0
0.158,0.187,0.842,0.0
0.203,0.254,0.797,0.0
0.191,0.237,0.809,0.0
0.047,0.05,0.953,0.0
0.045,0.047,0.955,0.0
0.207,0.26,0.793,0.0
0.053,0.056,0.947,0.0
0.206,0.259,0.794,0.0
0.046,0.048,0.954,0.0
0.897,8.712,0.103,0.0
0.103,0.115,0.897,0.0
0.972,35.03,0.028,0.0
0.028,0.029,0.972,0.0
0.219,0.28,0.781,0.0
0.214,0.273,0.786,0.0
0.217,0.277,0.783,0.0
0.036,0.037,0.964,0.0
0.209,0.265,0.791,0.0
0.037,0.039,0.963,0.0
0.037,0.038,0.963,0.0
0.04,0.041,0.96,0.0
0.626,1.677,0.374,0.0
0.319,0.469,0.681,0.0
0.005,0.005,0.995,1.0
0.01,0.01,0.99,1.0
0.007,0.007,0.993,1.0
0.02,0.02,0.98,1.0
0.009,0.009,0.991,1.0
0.001,0.001,0.999,1.0
0.132,0.152,0.868,0.0
0.122,0.139,0.878,0.0
0.131,0.151,0.869,0.0
0.12,0.136,0.88,0.0
0.12,0.137,0.88,0.0
0.127,0.145,0.873,0.0
0.13,0.15,0.87,0.0
0.122,0.138,0.878,0.0
0.093,0.102,0.907,0.0
0.159,0.189,0.841,0.0
0.161,0.192,0.839,0.0
0.161,0.192,0.839,0.0
0.163,0.194,0.837,0.0
0.089,0.098,0.911,0.0
0.084,0.092,0.916,0.0
0.089,0.098,0.911,0.0
0.22,0.282,0.78,0.0
0.215,0.274,0.785,0.0
0.228,0.295,0.772,0.0
0.233,0.304,0.767,0.0
0.022,0.023,0.978,0.0
0.026,0.027,0.974,0.0
0.027,0.028,0.973,0.0
0.025,0.026,0.975,0.0
0.71,2.448,0.29,0.0
0.29,0.409,0.71,0.0
0.886,7.79,0.114,0.0
0.06,0.064,0.94,0.0
0.023,0.024,0.977,1.0
0.004,0.004,0.996,1.0
0.005,0.005,0.995,1.0
0.015,0.015,0.985,1.0
0.003,0.003,0.997,1.0
0.002,0.002,0.998,1.0
0.098,0.109,0.902,0.0
0.094,0.104,0.906,0.0
0.153,0.18,0.847,0.0
0.098,0.108,0.902,0.0
0.155,0.184,0.845,0.0
0.093,0.103,0.907,0.0
0.153,0.181,0.847,0.0
0.154,0.182,0.846,0.0
0.609,1.557,0.391,0.0
0.391,0.642,0.609,0.0
0.631,1.709,0.369,0.0
0.312,0.454,0.688,0.0
0.016,0.016,0.984,1.0
0.013,0.013,0.987,1.0
0.006,0.006,0.994,1.0
0.011,0.011,0.989,1.0
0.003,0.003,0.997,1.0
0.004,0.004,0.996,1.0
0.212,0.269,0.788,0.0
0.205,0.258,0.795,0.0
0.041,0.043,0.959,0.0
0.208,0.263,0.792,0.0
0.211,0.267,0.789,0.0
0.036,0.037,0.964,0.0
0.042,0.043,0.958,0.0
0.045,0.047,0.955,0.0
0.129,0.149,0.871,0.0
0.12,0.137,0.88,0.0
0.129,0.148,0.871,0.0
0.135,0.156,0.865,0.0
0.12,0.136,0.88,0.0
0.136,0.158,0.864,0.0
0.121,0.137,0.879,0.0
0.117,0.132,0.883,0.0
0.411,0.698,0.589,0.0
0.535,1.151,0.465,0.0
0.014,0.014,0.986,1.0
0.008,0.008,0.992,1.0
0.012,0.012,0.988,1.0
0.004,0.004,0.996,1.0
0.01,0.01,0.99,1.0
0.002,0.002,0.998,1.0
0.645,1.818,0.355,0.0
0.355,0.55,0.645,0.0
0.837,5.15,0.163,0.0
0.113,0.128,0.887,0.0
0.016,0.016,0.984,1.0
0.004,0.004,0.996,1.0
0.001,0.001,0.999,1.0
0.017,0.017,0.983,1.0
0.004,0.004,0.996,1.0
0.005,0.005,0.995,1.0
0.179,0.218,0.821,0.0
0.067,0.072,0.933,0.0
0.181,0.221,0.819,0.0
0.186,0.229,0.814,0.0
0.071,0.076,0.929,0.0
0.07,0.076,0.93,0.0
0.18,0.219,0.82,0.0
0.072,0.078,0.928,0.0
0.644,1.807,0.356,0.0
0.356,0.554,0.644,0.0
0.209,0.264,0.791,0.0
0.224,0.288,0.776,0.0
0.215,0.274,0.785,0.0
0.227,0.294,0.773,0.0
0.03,0.031,0.97,0.0
0.031,0.032,0.969,0.0
0.027,0.028,0.973,0.0
0.031,0.032,0.969,0.0
0.341,0.517,0.659,0.0
0.608,1.55,0.392,0.0
0.006,0.006,0.994,1.0
0.017,0.017,0.983,1.0
0.012,0.012,0.988,1.0
0.009,0.009,0.991,1.0
0.005,0.005,0.995,1.0
0.001,0.001,0.999,1.0
0.223,0.287,0.777,0.0
0.027,0.028,0.973,0.0
0.224,0.288,0.776,0.0
0.221,0.283,0.779,0.0
0.23,0.299,0.77,0.0
0.024,0.025,0.976,0.0
0.028,0.029,0.972,0.0
0.024,0.025,0.976,0.0
0.239,0.314,0.761,0.0
0.235,0.307,0.765,0.0
0.239,0.315,0.761,0.0
0.015,0.015,0.985,0.0
0.015,0.015,0.985,0.0
0.015,0.015,0.985,0.0
0.233,0.304,0.767,0.0
0.011,0.011,0.989,0.0
0.149,0.175,0.851,0.0
0.137,0.159,0.863,0.0
0.15,0.176,0.85,0.0
0.105,0.118,0.895,0.0
0.103,0.114,0.897,0.0
0.103,0.115,0.897,0.0
0.152,0.18,0.848,0.0
0.101,0.112,0.899,0.0
0.223,0.286,0.777,0.0
0.226,0.291,0.774,0.0
0.021,0.022,0.979,0.0
0.23,0.299,0.77,0.0
0.229,0.298,0.771,0.0
0.024,0.025,0.976,0.0
0.021,0.021,0.979,0.0
0.022,0.022,0.978,0.0
0.116,0.131,0.884,0.0
0.117,0.132,0.883,0.0
0.142,0.165,0.858,0.0
0.114,0.129,0.886,0.0
0.135,0.156,0.865,0.0
0.136,0.157,0.864,0.0
0.138,0.16,0.862,0.0
0.108,0.122,0.892,0.0
0.209,0.264,0.791,0.0
0.207,0.26,0.793,0.0
0.039,0.041,0.961,0.0
0.208,0.263,0.792,0.0
0.215,0.274,0.785,0.0
0.043,0.045,0.957,0.0
0.042,0.043,0.958,0.0
0.045,0.048,0.955,0.0
0.242,0.319,0.758,0.0
0.225,0.29,0.775,0.0
0.228,0.295,0.772,0.0
0.019,0.019,0.981,0.0
0.233,0.304,0.767,0.0
0.017,0.017,0.983,0.0
0.017,0.017,0.983,0.0
0.016,0.016,0.984,0.0
0.215,0.274,0.785,0.0
0.202,0.253,0.798,0.0
0.21,0.266,0.79,0.0
0.038,0.04,0.962,0.0
0.042,0.043,0.958,0.0
0.209,0.264,0.791,0.0
0.036,0.037,0.964,0.0
0.038,0.039,0.962,0.0
0.199,0.248,0.801,0.0
0.195,0.243,0.805,0.0
0.192,0.238,0.808,0.0
0.197,0.246,0.803,0.0
0.053,0.056,0.947,0.0
0.056,0.059,0.944,0.0
0.055,0.058,0.945,0.0
0.055,0.058,0.945,0.0
0.669,2.021,0.331,0.0
0.016,0.016,0.984,1.0
0.276,0.382,0.724,0.0
0.018,0.018,0.982,1.0
0.008,0.008,0.992,1.0
0.009,0.009,0.991,1.0
0.005,0.005,0.995,1.0
0.001,0.001,0.999,1.0
0.854,5.85,0.146,0.0
0.146,0.171,0.854,0.0
0.721,2.587,0.279,0.0
0.279,0.387,0.721,0.0
0.201,0.252,0.799,0.0
0.207,0.261,0.793,0.0
0.04,0.041,0.96,0.0
